,Player,height,weight,collage,born,birth_city,birth_state
3358,Jordan Hill,208,106,University of Arizona,1987,Atlanta,Georgia
3359,Jrue Holiday,193,92,"University of California, Los Angeles",1990,Chatsworth,California
3360,Lester Hudson,190,86,University of Tennessee at Martin,1984,Memphis,Tennessee
3361,Chris Hunter,211,108,University of Michigan,1984,Gary,Indiana
3362,Serge Ibaka,208,106,,1989,Brazzaville,Republic of the Congo
3363,Cedric Jackson,190,86,Cleveland State University,1986,Alamogordo,New Mexico
3364,Othyus Jeffers,196,90,Robert Morris University (IL),1985,Chicago,Illinois
3365,Brandon Jennings,185,77,,1989,Compton,California
3366,Jonas Jerebko,208,104,,1987,Kinna,Sweden
3367,James Johnson,206,113,Wake Forest University,1987,Cheyenne,Wyoming
3368,Oliver Lafayette,188,86,University of Houston,1984,Baton Rouge,Louisiana
3369,Marcus Landry,201,104,University of Wisconsin,1985,Milwaukee,Wisconsin
3370,Ty Lawson,180,88,University of North Carolina,1987,Clinton,Maryland
3371,Wesley Matthews,185,77,University of Wisconsin,1959,Sarasota,Florida
3372,Eric Maynor,190,79,Virginia Commonwealth University,1987,Raeford,North Carolina
3373,Jodie Meeks,193,95,University of Kentucky,1987,Norcross,Georgia
3374,Patty Mills,203,111,Louisiana Tech University,1985,Monroe,Louisiana
3375,Byron Mullens,213,124,Ohio State University,1989,Canal Winchester,Ohio
3376,A.J. Price,213,124,,1989,,
3377,DaJuan Summers,203,104,Georgetown University,1988,Baltimore,Maryland
3378,Jermaine Taylor,193,79,Texas Tech University,1960,Blytheville,Arkansas
3379,Jeff Teague,188,84,Wake Forest University,1988,Indianapolis,Indiana
3380,Garrett Temple,198,88,Louisiana State University,1986,Baton Rouge,Louisiana
3381,Hasheem Thabeet,221,119,University of Connecticut,1987,Dar es Salaam,United Republic of Tanzania
3382,Marcus Thornton,193,92,Louisiana State University,1987,Baton Rouge,Louisiana
3383,Terrence Williams,198,99,University of Louisville,1987,Seattle,Washington
3384,Sam Young,198,99,University of Pittsburgh,1985,Washington,District of Columbia
3385,Jeff Adrien,201,111,University of Connecticut,1986,Brookline,Massachusetts
3386,Solomon Alabi,216,113,Florida State University,1988,Kaduna,Nigeria
3387,Cole Aldrich,211,113,University of Kansas,1988,Burnsville,Minnesota
3388,Al-Farouq Aminu,206,99,Wake Forest University,1990,Atlanta,Georgia
3389,James Anderson,198,96,Oklahoma State University,1989,El Dorado,Arkansas
3390,Omer Asik,213,115,,1986,Bursa,Turkey
3391,Luke Babbitt,206,102,"University of Nevada, Reno",1989,Cincinnati,Ohio
3392,Eric Bledsoe,185,86,University of Kentucky,1989,Birmingham,Alabama
3393,Trevor Booker,203,103,Clemson University,1987,Newberry,South Carolina
3394,Craig Brackins,208,104,Iowa State University,1987,Los Angeles,California
3395,Avery Bradley,188,81,University of Texas at Austin,1990,Tacoma,Washington
3396,Derrick Caracter,206,124,University of Texas at El Paso,1988,Fanwood,New Jersey
3397,Sherron Collins,180,92,University of Kansas,1987,Chicago,Illinois
3398,Marcus Cousin,211,111,University of Houston,1986,Baltimore,Maryland
3399,DeMarcus Cousins,211,122,University of Kentucky,1990,Mobile,Alabama
3400,Jordan Crawford,196,95,University of Kentucky,1986,Detroit,Michigan
3401,Ed Davis,208,108,University of North Carolina,1989,Washington,District of Columbia
3402,Zabian Dowdell,190,86,Virginia Polytechnic Institute and State University,1984,Pahokee,Florida
3403,Devin Ebanks,206,97,West Virginia University,1989,Queens,New York
3404,Semih Erden,213,108,,1986,Istanbul,Turkey
3405,Jeremy Evans,206,90,Western Kentucky University,1987,Crossett,Arkansas
3406,Patrick Ewing,213,108,Georgetown University,1962,Kingston,Jamaica
3407,Christian Eyenga,196,95,,1989,Kinshasa,Democratic Republic of the Congo
3408,Derrick Favors,208,120,Georgia Institute of Technology,1991,Atlanta,Georgia
3409,Landry Fields,201,95,Stanford University,1988,Long Beach,California
3410,Gary Forbes,201,99,University of Massachusetts Amherst,1985,Colon,Panama
3411,Paul George,206,99,"California State University, Fresno",1990,Palmdale,California
3412,Blake Griffin,208,113,University of Oklahoma,1989,Oklahoma City,Oklahoma
3413,Luke Harangody,203,111,University of Notre Dame,1988,Decatur,Illinois
3414,Manny Harris,196,83,University of Michigan,1989,Detroit,Michigan
3415,Gordon Hayward,203,102,Butler University,1990,Indianapolis,Indiana
3416,Lazar Hayward,198,102,Marquette University,1986,Buffalo,New York
3417,Xavier Henry,198,99,University of Kansas,1991,Gent,Belgium
3418,Damion James,201,102,University of Texas at Austin,1987,Hobbs,New Mexico
3419,Eugene Jeter,180,79,University of Portland,1983,Los Angeles,California
3420,Armon Johnson,196,107,Bemidji State University,1920,Gonvick,Minnesota
3421,Chris Johnson,183,77,University of California,1949,Corpus Christi,Texas
3422,Wesley Johnson,201,97,Syracuse University,1987,Corsicana,Texas
3423,Dominique Jones,203,99,Mississippi State University,1975,Nashville,Tennessee
3424,Gani Lawal,206,106,Georgia Institute of Technology,1988,College Park,Georgia
3425,Jeremy Lin,190,90,Harvard University,1988,Palo Alto,California
3426,Greg Monroe,211,120,Georgetown University,1990,New Orleans,Louisiana
3427,Timofey Mozgov,216,124,,1986,St. Petersburg,Russia
3428,Hamady N'Diaye,213,106,Rutgers University,1987,Dakar,Senegal
3429,Gary Neal,193,95,Towson University,1984,Baltimore,Maryland
3430,Larry Owens,201,95,Oral Roberts University,1983,Mesa,Arizona
3431,Patrick Patterson,206,104,University of Kentucky,1989,Washington,District of Columbia
3432,Nikola Pekovic,211,139,,1986,Bijelo Polje,Montenegro
3433,Dexter Pittman,211,139,University of Texas at Austin,1988,Rosenberg,Texas
3434,Quincy Pondexter,201,99,University of Washington,1988,Fresno,California
3435,Andy Rautins,193,86,Syracuse University,1986,Syracuse,New York
3436,Samardo Samuels,206,117,University of Louisville,1989,Trelawny,Jamaica
3437,Larry Sanders,211,106,Virginia Commonwealth University,1988,Fort Pierce,Florida
3438,Kevin Seraphin,206,129,,1989,Cayenne,French Guiana
3439,Mustafa Shakur,190,86,University of Arizona,1984,Philadelphia,Pennsylvania
3440,Garret Siler,211,138,Augusta State University,1986,Augusta,Georgia
3441,Ish Smith,183,79,Wake Forest University,1988,Charlotte,North Carolina
3442,Tiago Splitter,211,111,,1985,Joinville,Brazil
3443,Lance Stephenson,196,104,University of Cincinnati,1990,Brooklyn,New York
3444,Pape Sy,201,102,,1988,Loudeac,France
3445,Evan Turner,201,99,Ohio State University,1988,Chicago,Illinois
3446,Ekpe Udoh,208,108,Baylor University,1987,Edmond,Oklahoma
3447,Ben Uzoh,190,92,University of Tulsa,1988,Houston,Texas
3448,Greivis Vasquez,198,98,University of Maryland,1987,Caracas,Venezuela
3449,John Wall,193,88,University of Kentucky,1990,Raleigh,North Carolina
3450,Willie Warren,193,92,University of Oklahoma,1989,Dallas,Texas
3451,Hassan Whiteside,213,120,Marshall University,1989,Gastonia,North Carolina
3452,Lavoy Allen,206,117,Temple University,1989,Morrisville,Pennsylvania
3453,Gustavo Ayon,208,113,,1985,Tepic,Mexico
3454,Keith Benson,208,106,Indiana University,1954,New Castle,Indiana
3455,Bismack Biyombo,206,115,,1992,Lubumbashi,Democratic Republic of the Congo
3456,MarShon Brooks,196,90,Providence College,1989,Long Branch,New Jersey
3457,Alec Burks,198,97,University of Colorado,1991,Grandview,Missouri
3458,Jimmy Butler,201,99,Marquette University,1989,Houston,Texas
3459,Derrick Byars,201,99,Vanderbilt University,1984,Memphis,Tennessee
3460,Norris Cole,188,79,Cleveland State University,1988,Dayton,Ohio
3461,Eric Dawson,206,113,Midwestern State University,1984,San Antonio,Texas
3462,Justin Dentmon,180,83,University of Washington,1985,Carbondale,Illinois
3463,Jerome Dyson,190,81,University of Connecticut,1987,Rockville,Maryland
3464,Kenneth Faried,203,103,Morehead State University,1989,Newark,New Jersey
3465,Jeff Foote,213,120,Cornell University,1987,Lockwood,New York
3466,Courtney Fortson,180,83,University of Arkansas,1988,San Antonio,Texas
3467,Jimmer Fredette,188,88,Brigham Young University,1989,Glens Falls,New York
3468,Mickell Gladness,211,99,Alabama A&M University,1986,Birmingham,Alabama
3469,Andrew Goudelock,190,90,College of Charleston,1988,Gainesville,Georgia
3470,Jordan Hamilton,178,72,University of North Texas,1948,Lexington,Kentucky
3471,Justin Harper,208,102,University of Richmond,1989,Richmond,Virginia
3472,Josh Harrellson,208,124,University of Kentucky,1989,St. Charles,Missouri
3473,Terrel Harris,196,86,Oklahoma State University,1987,Dallas,Texas
3474,Tobias Harris,190,86,University of New Orleans,1967,Monroe,Louisiana
3475,Cory Higgins,196,81,University of Colorado,1989,Danville,California
3476,Darington Hobson,201,95,University of New Mexico,1987,Las Vegas,Nevada
3477,Tyler Honeycutt,203,85,"University of California, Los Angeles",1990,Los Angeles,California
3478,Dennis Horner,206,104,North Carolina State University,1988,Linwood,New Jersey
3479,Kyrie Irving,190,87,Duke University,1992,Melbourne,Australia
3480,Reggie Jackson,190,94,Boston College,1990,Pordenone,Italy
3481,Charles Jenkins,190,99,Hofstra University,1989,Brooklyn,New York
3482,Carldell Johnson,178,81,University of Alabama at Birmingham,1983,New Orleans,Louisiana
3483,Ivan Johnson,203,104,University of Oregon,1984,San Antonio,Texas
3484,JaJuan Johnson,206,113,Wake Forest University,1987,Cheyenne,Wyoming
3485,Jerome Jordan,213,114,University of Tulsa,1986,Kingston,Jamaica
3486,Cory Joseph,190,87,University of Texas at Austin,1991,Toronto,Canada
3487,Enes Kanter,211,111,,1992,Zurich,Switzerland
3488,D.J. Kennedy,211,111,,1992,,
3489,Brandon Knight,178,78,Stanford University,1975,Livingston,New Jersey
3490,Malcolm Lee,196,90,"University of California, Los Angeles",1990,Riverside,California
3491,Kawhi Leonard,201,104,San Diego State University,1991,Los Angeles,California
3492,Travis Leslie,193,92,University of Georgia,1990,Atlanta,Georgia
3493,Jon Leuer,208,103,University of Wisconsin,1989,Long Lake,Minnesota
3494,DeAndre Liggins,198,94,University of Kentucky,1988,Chicago,Illinois
3495,Shelvin Mack,190,92,Butler University,1990,Lexington,Kentucky
3496,Vernon Macklin,208,102,University of Florida,1986,Portsmouth,Virginia
3497,E'Twaun Moore,208,102,,1986,,
3498,Darius Morris,193,86,University of Michigan,1991,Los Angeles,California
3499,Marcus Morris,188,88,Northwestern University,1925,,
3500,Markieff Morris,188,88,Northwestern University,1925,,
3501,Daniel Orton,208,115,University of Kentucky,1990,Oklahoma City,Oklahoma
3502,Jeremy Pargo,188,99,Gonzaga University,1986,Chicago,Illinois
3503,Chandler Parsons,208,104,University of Florida,1988,Casselberry,Florida
3504,Ryan Reid,203,105,Florida State University,1986,Lauderdale Lakes,Florida
3505,Ricky Rubio,193,87,,1990,Barcelona,Spain
3506,Josh Selby,188,83,University of Kansas,1991,Baltimore,Maryland
3507,Iman Shumpert,196,99,Georgia Institute of Technology,1990,Oak Park,Illinois
3508,Xavier Silas,196,92,Northern Illinois University,1988,San Antonio,Texas
3509,Chris Singleton,203,104,Florida State University,1989,Canton,Georgia
3510,Donald Sloan,190,92,Texas A&M University,1988,Shreveport,Louisiana
3511,Jerry Smith,188,86,University of Louisville,1987,Wauwatosa,Wisconsin
3512,Nolan Smith,188,83,Duke University,1988,Louisville,Kentucky
3513,Greg Stiemsma,211,117,University of Wisconsin,1985,Randolph,Wisconsin
3514,Julyan Stone,198,90,University of Texas at El Paso,1988,Alexandria,Virginia
3515,Isaiah Thomas,185,81,Indiana University,1961,Chicago,Illinois
3516,Lance Thomas,203,106,Duke University,1988,Brooklyn,New York
3517,Malcolm Thomas,206,102,San Diego State University,1988,Columbia,Missouri
3518,Trey Thompkins,206,107,University of Texas at Austin,1991,Toronto,Canada
3519,Klay Thompson,201,97,Washington State University,1990,Los Angeles,California
3520,Mychel Thompson,208,102,University of Minnesota,1955,Nassau,Bahamas
3521,Tristan Thompson,206,107,University of Texas at Austin,1991,Toronto,Canada
3522,Jeremy Tyler,208,117,,1991,San Diego,California
3523,Edwin Ubiles,198,92,Siena College,1986,Brooklyn,New York
3524,Jan Vesely,211,108,,1990,Ostrava,Czech Republic
3525,Nikola Vucevic,213,117,University of Southern California,1990,Morges,Switzerland
3526,Kemba Walker,203,95,University of Kentucky,1964,Roberta,Georgia
3527,Derrick Williams,190,90,University of Illinois at Urbana-Champaign,1984,Parkersburg,West Virginia
3528,Elliot Williams,196,86,University of Memphis,1989,Memphis,Tennessee
3529,Jordan Williams,188,83,New Mexico State University,1951,New Haven,Connecticut
3530,Chris Wright,203,102,University of Dayton,1988,Trotwood,Ohio
3531,Quincy Acy,201,108,Baylor University,1990,Tyler,Texas
3532,Josh Akognon,180,83,"California State University, Fullerton",1986,Greenbrae,California
3533,Harrison Barnes,190,92,Northeastern University,1945,,
3534,Will Barton,198,79,University of Memphis,1991,Baltimore,Maryland
3535,Aron Baynes,208,117,Washington State University,1986,Gisborne,New Zealand
3536,Kent Bazemore,196,91,Old Dominion University,1989,Kelford,North Carolina
3537,Bradley Beal,196,93,University of Florida,1993,St. Louis,Missouri
3538,Patrick Beverley,185,83,University of Arkansas,1988,Chicago,Illinois
3539,Victor Claver,206,101,,1988,Valencia,Spain
3540,Chris Copeland,206,108,University of Colorado,1984,Orange,New Jersey
3541,Jae Crowder,198,106,Marquette University,1990,Villa Rica,Georgia
3542,Jared Cunningham,193,88,Oregon State University,1991,Oakland,California
3543,Anthony Davis,206,97,University of Texas at El Paso,1968,Oakland,California
3544,Nando De,206,97,,1968,,
3545,Andre Drummond,211,126,University of Connecticut,1993,Mount Vernon,New York
3546,Kim English,198,90,University of Missouri,1988,Baltimore,Maryland
3547,Festus Ezeli,211,115,Vanderbilt University,1989,Benin City,Nigeria
3548,Evan Fournier,201,92,,1992,Saint-Maurice,France
3549,Joel Freeland,208,113,,1987,Farnham,United Kingdom
3550,Diante Garrett,190,83,Southern Illinois University,1947,,
3551,Draymond Green,201,104,Michigan State University,1990,Saginaw,Michigan
3552,Ben Hansbrough,190,92,University of Notre Dame,1987,Poplar Bluff,Missouri
3553,Maurice Harkless,206,97,St. John's University,1993,Queens,New York
3554,John Henson,211,103,University of North Carolina,1990,Greensboro,North Carolina
3555,Justin Holiday,198,83,University of Washington,1989,Mission Hills,California
3556,Bernard James,208,108,Florida State University,1985,Savannah,Georgia
3557,John Jenkins,193,97,Vanderbilt University,1991,Nashville,Tennessee
3558,Orlando Johnson,196,99,"University of California, Santa Barbara",1989,Monterey,California
3559,Darius Johnson-Odom,201,95,Syracuse University,1970,Morgan City,Louisiana
3560,DeQuan Jones,203,100,University of Miami,1990,Stone Mountain,Georgia
3561,Kevin Jones,203,113,West Virginia University,1989,Mount Vernon,New York
3562,Perry Jones,211,106,Baylor University,1991,Winnsboro,Louisiana
3563,Terrence Jones,206,114,University of Kentucky,1992,Portland,Oregon
3564,Kris Joseph,201,95,Syracuse University,1988,Montreal,Canada
3565,Michael Kidd-Gilchrist,201,105,University of Kentucky,1993,Philadelphia,Pennsylvania
3566,Viacheslav Kravtsov,213,117,,1987,Odessa,Ukraine
3567,Doron Lamb,193,95,University of Kentucky,1991,Queens,New York
3568,Jeremy Lamb,196,83,University of Connecticut,1992,Henrico Valley,Virginia
3569,Meyers Leonard,216,111,University of Illinois at Urbana-Champaign,1992,Woodbridge,Virginia
3570,Damian Lillard,190,88,Weber State University,1990,Oakland,California
3571,Scott Machado,185,92,Iona College,1990,Queens,New York
3572,Kendall Marshall,193,90,University of North Carolina,1991,Dumfries,Virginia
3573,Fab Melo,213,115,Syracuse University,1990,Juiz de Forz,Brazil
3574,Khris Middleton,203,106,Texas A&M University,1991,Charleston,South Carolina
3575,Darius Miller,203,106,University of Kentucky,1990,Maysville,Kentucky
3576,Quincy Miller,206,95,Baylor University,1992,Chicago,Illinois
3577,Donatas Motiejunas,213,100,,1990,Kaunas,Lithuania
3578,Arnett Moultrie,211,112,Mississippi State University,1990,Queens,New York
3579,Kevin Murphy,196,83,Tennessee Technological University,1990,Atlanta,Georgia
3580,Andrew Nicholson,206,113,St. Bonaventure University,1989,Mississauga,Canada
3581,Kyle O'Quinn,208,113,Norfolk State University,1990,Flushing,New York
3582,Tim Ohlbrecht,211,115,,1988,Wuppertal,Germany
3583,Miles Plumlee,211,112,Duke University,1988,Fort Wayne,Indiana
3584,Pablo Prigioni,190,83,,1977,Rio Tercero,Argentina
3585,Austin Rivers,193,90,Duke University,1992,Santa Monica,California
3586,Brian Roberts,185,78,University of Dayton,1985,Toledo,Ohio
3587,Thomas Robinson,208,107,University of Kansas,1991,Washington,District of Columbia
3588,Terrence Ross,201,93,University of Washington,1991,Portland,Oregon
